elev_ft_NAVD88,elev_ft_NGVD29,area_ft2,area_m2,area_km2,area_mi2,area_acre,volume_ft3,volume_m3,volume_km3,volume_mi3,volume_acreft
4170,4166.52,0,0,0,0,0,0,0,0,0,0
4170.01,4166.53,0,0,0,0,0,0,0,0,0,0
4170.02,4166.54,0,0,0,0,0,0,0,0,0,0
4170.03,4166.55,0,0,0,0,0,0,0,0,0,0
4170.04,4166.56,0,0,0,0,0,0,0,0,0,0
4170.05,4166.57,0,0,0,0,0,0,0,0,0,0
4170.06,4166.58,0,0,0,0,0,0,0,0,0,0
4170.07,4166.59,0,0,0,0,0,0,0,0,0,0
4170.08,4166.6,0,0,0,0,0,0,0,0,0,0
4170.09,4166.61,9687.52,900,0,0,0.22,4.86,0.14,0,0,0
4170.1,4166.62,168186.1,15625,0.02,0.01,3.86,993.09,28.12,0,0,0.02
4170.11,4166.63,261293.93,24275,0.02,0.01,6,3119.33,88.33,0,0,0.07
4170.12,4166.64,334488.52,31075,0.03,0.01,7.68,6189.91,175.28,0,0,0.14
4170.13,4166.65,399610.17,37125,0.04,0.01,9.17,9737.32,275.73,0,0,0.22
4170.14,4166.66,470382.89,43700,0.04,0.02,10.8,14228.68,402.91,0,0,0.33
4170.15,4166.67,2972992.06,276200,0.28,0.11,68.25,28707.66,812.91,0,0,0.66
4170.16,4166.68,7806256.93,725225,0.73,0.28,179.21,90305.29,2557.16,0,0,2.07
4170.17,4166.69,11277618.04,1047725,1.05,0.4,258.9,180778.38,5119.07,0,0,4.15
4170.18,4166.7,68787845.91,6390600,6.39,2.47,1579.15,482932.46,13675.12,0,0,11.09
4170.19,4166.71,107259676.3,9964750,9.96,3.85,2462.33,1335467.14,37816.22,0,0,30.66
4170.2,4166.72,131425731.6,12209850,12.21,4.71,3017.11,2562671.71,72566.78,0,0,58.83
4170.21,4166.73,144021390.5,13380025,13.38,5.17,3306.26,3905641.14,110595.44,0,0,89.66
4170.22,4166.74,156969298.3,14582925,14.58,5.63,3603.5,5446523.95,154228.38,0,0,125.04
4170.23,4166.75,171671723.6,15948825,15.95,6.16,3941.02,7041392.8,199390.04,0,0,161.65
4170.24,4166.76,198156863.3,18409375,18.41,7.11,4549.04,8948864.29,253403.62,0,0,205.44
4170.25,4166.77,230318889.5,21397325,21.4,8.26,5287.37,11056366.47,313081.43,0,0,253.82
4170.26,4166.78,245086167.3,22769250,22.77,8.79,5626.38,13377654.47,378812.99,0,0,307.11
4170.27,4166.79,266125037.5,24723825,24.72,9.55,6109.37,15996165.67,452960.97,0,0,367.22
4170.28,4166.8,280579623.7,26066700,26.07,10.06,6441.2,18662656.7,528467.59,0,0,428.44
4170.29,4166.81,292497694.4,27173925,27.17,10.49,6714.8,21611059.03,611957.04,0,0,496.12
4170.3,4166.82,302159649.5,28071550,28.07,10.84,6936.6,24508520.81,694004.02,0,0,562.64
4170.31,4166.83,309807946,28782100,28.78,11.11,7112.18,27646697.89,782867.3,0,0,634.68
4170.32,4166.84,316862612.9,29437500,29.44,11.37,7274.14,30703990.34,869440.18,0,0,704.87
4170.33,4166.85,323591133.3,30062600,30.06,11.61,7428.6,33985801.25,962370.72,0,0,780.21
4170.34,4166.86,328488981.6,30517625,30.52,11.78,7541.04,37169065.74,1052510.73,0,0,853.29
4170.35,4166.87,333380102.5,30972025,30.97,11.96,7653.32,40560891.52,1148556.54,0,0,931.15
4170.36,4166.88,338946927.9,31489200,31.49,12.16,7781.12,43841416.32,1241450.66,0,0,1006.46
4170.37,4166.89,344180072,31975375,31.98,12.35,7901.26,47343070.25,1340606.46,0,0,1086.85
4170.38,4166.9,348351625.5,32362925,32.36,12.5,7997.02,50722979.11,1436314.82,0,0,1164.44
4170.39,4166.91,355222498.6,33001250,33,12.74,8154.75,54324013.41,1538284.75,0,0,1247.11
4170.4,4166.92,361902043.3,33621800,33.62,12.98,8308.09,57824534.97,1637408.49,0,0,1327.47
4170.41,4166.93,367723166,34162600,34.16,13.19,8441.73,61564726.19,1743318.91,0,0,1413.34
4170.42,4166.94,373495313,34698850,34.7,13.4,8574.24,65183743.66,1845798.07,0,0,1496.42
4170.43,4166.95,378594177.3,35172550,35.17,13.58,8691.29,69039089.27,1954969.3,0,0,1584.92
4170.44,4166.96,383762468.9,35652700,35.65,13.77,8809.94,72760174.15,2060338.69,0,0,1670.35
4170.45,4166.97,388743468.5,36115450,36.12,13.94,8924.29,76719296.5,2172448.55,0,0,1761.24
4170.46,4166.98,393867628,36591500,36.59,14.13,9041.92,80540025.87,2280639.56,0,0,1848.95
4170.47,4166.99,399055025.5,37073425,37.07,14.31,9161.01,84602623.14,2395679.5,0,0,1942.21
4170.48,4167,405062094.9,37631500,37.63,14.53,9298.91,88527616.72,2506822.94,0,0,2032.32
4170.49,4167.01,410418485.8,38129125,38.13,14.72,9421.87,92707276.37,2625177.72,0,0,2128.27
